ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00001,"Pepper, sweet, red, raw",Vegetables,1.07,0.61,0.04,0.00,0.14,0.28,0.01,133,0.1,5.2,0.9,Cm039,Pa059,Ma0332,
Ra00002,"Tomato, ripe, raw, origin unknown",Vegetables,0.48,0.21,0.01,0.00,0.14,0.11,0.01,87,0.1,3.2,0.8,Cm167,Pa059,Ma0332,
Ra00003,"Squash, raw",Vegetables,0.84,0.48,0.04,0.00,0.06,0.25,0.01,81,0.2,2.4,1.4,Cm135,Pa040,Ma0332,
Ra00004,"Aubergine, raw",Vegetables,0.99,0.51,0.03,0.00,0.14,0.30,0.01,83,0.1,3.1,0.9,Cm056,Pa059,Ma0332,
Ra00005,"Tomato, dried",Vegetables,2.72,2.04,0.09,0.00,0.26,0.33,0.01,1187,3,43.5,14.1,Fa0152,Pa066,Ma0332,
Ra00006,"Pumpkin, raw",Vegetables,0.84,0.48,0.04,0.00,0.06,0.25,0.01,75,0.1,3.3,0.6,Cm135,Pa040,Ma0332,
Ra00007,"Cucumber, raw",Vegetables,0.40,0.15,0.01,0.00,0.14,0.08,0.01,50,0,1.6,0.7,Cm053,Pa059,Ma0332,
Ra00008,"Gherkin cucumber, raw",Vegetables,0.40,0.15,0.01,0.00,0.14,0.08,0.01,70,0.1,2.1,1.2,Cm053,Pa059,Ma0332,
Ra00009,"Pepper, hot chili, raw",Vegetables,1.07,0.61,0.04,0.00,0.14,0.28,0.01,187,0.2,7.7,2,Cm039,Pa059,Ma0332,
Ra00010,"Beef, topside, cap off, raw",Meat/poultry,67.82,55.10,14.32,-2.69,0.14,0.95,0.00,472,2.5,0,22.3,Fa0034,Pa059,Ma0333,
Ra00011,"Beef, fillet, defatted, raw",Meat/poultry,227.85,185.44,48.19,-9.07,0.14,3.16,0.00,576,6.4,0,20,Fa0035,Pa059,Ma0333,
Ra00012,"Beef, mince, 10-15% fat, raw",Meat/poultry,48.04,39.71,10.37,-2.82,0.14,0.64,0.00,687,9.7,0,19.4,Fa0037,Pa059,Ma0333,
Ra00013,"Beef, rump, raw",Meat/poultry,67.82,55.10,14.32,-2.69,0.14,0.95,0.00,879,14.9,0,19.3,Fa0034,Pa059,Ma0333,
Ra00014,"Beef, mince, 15-20% fat, raw",Meat/poultry,45.47,37.38,9.75,-2.41,0.14,0.62,0.00,903,16.2,0,17.8,Fa0038,Pa059,Ma0333,
Ra00015,"Beef, T-bone steak, raw",Meat/poultry,120.83,98.28,25.54,-4.81,0.14,1.68,0.00,878,14.4,0,20.3,Fa0036,Pa059,Ma0333,
Ra00016,"Beef, mince, 5-10% fat, raw",Meat/poultry,50.61,42.05,10.99,-3.23,0.14,0.67,0.00,683,9.5,0,19.5,Fa0039,Pa059,Ma0333,
Ra00017,"Beer, lager, alc. 4.4 % by vol.",Beverages,0.68,0.19,0.03,0.24,0.17,0.03,0.01,152,0,2.7,0.3,Fa0013,Pa005,Ma0332,
Ra00018,"Beer, Danish household, low alcohol",Beverages,0.68,0.19,0.03,0.24,0.17,0.03,0.01,189,0,8.6,0.3,Fa0013,Pa005,Ma0332,
Ra00019,"Beer, strong, alc. 7.6 % by vol.",Beverages,0.68,0.19,0.03,0.24,0.17,0.03,0.01,260,0,4.6,0.4,Fa0013,Pa005,Ma0332,
